Model,Accuracy,Precision,Recall
RandomForest,0.8601190476190477,0.8228571428571428,0.9
DecisionTree,0.7351190476190477,0.7261146496815286,0.7125
SVM,0.8125,0.7650273224043715,0.875
NaiveBayes,0.6041666666666666,0.5560165975103735,0.8375
KNN,0.8214285714285714,0.8246753246753247,0.79375
LogisticRegression,0.7976190476190477,0.8026315789473685,0.7625
CNN,0.8660714285714286,0.8323699421965318,0.9
RNN,0.5327380952380952,0.7142857142857143,0.03125
LSTM,0.7678571428571429,0.75,0.76875
MobileNetV2,0.9464285714285714,0.927710843373494,0.9625
